ID,Feature / Module,Primary Actor,Release,Patient-facing,Automated Clinical Interpretation,Working Regulatory Status,V1 Handling / Boundary,Release Gate,Owner,Status
F-001,Unified mother + baby dashboard,Mother,V1,Yes,No,GREEN — non-device working assumption,"Display maternal, pregnancy, child, appointments and task information without clinical interpretation.",Normal product QA,TBD,Planned
F-002,Maternal longitudinal profile,Mother / Clinician,V1,Yes,No,GREEN — non-device working assumption,Store/display longitudinal maternal health information; preserve provenance and verification status.,Privacy + clinical data model review,TBD,Planned
F-003,Preconception journey,Mother,V1,Yes,No,GREEN — non-device working assumption,"Period, nutrition, weight and planning tools; avoid disease-specific therapeutic advice unless clinician-led.",Clinical content review,TBD,Planned
F-004,Pregnancy episode,Mother / OBGY,V1,Yes,No,GREEN — non-device working assumption,"Track pregnancy-specific information, records and doctor-prescribed measurements.",Clinical data model review,TBD,Planned
F-005,Postpartum maternal journey,Mother / Clinician,V1,Yes,No,GREEN — non-device working assumption,Continue mother profile after delivery; 42-day postnatal period plus broader postpartum journey.,Clinical content review,TBD,Planned
F-006,Child profile birth to age 7,Mother / Pediatrician,V1,Yes,No,GREEN — non-device working assumption,"Longitudinal child record for growth, vaccines, milestones and pediatric care.",Clinical content review,TBD,Planned
F-007,Home weight tracking,Mother,V1,Yes,No,GREEN — non-device working assumption,Record/display values and trends. No automated clinical abnormality label.,Normal product QA,TBD,Planned
F-008,Home BP tracking,Mother / OBGY,V1,Yes,No,GREEN — non-device working assumption,"Record/display doctor-requested readings, counts, ranges and trends only.",Regulatory boundary QA,TBD,Planned
F-009,Home blood glucose tracking,Mother / OBGY,V1,Yes,No,GREEN/AMBER — review wording,Record/display readings and trends; do not diagnose GDM or recommend dose/diet changes automatically.,Regulatory wording review,TBD,Planned
F-010,Self-reported clinical fields,Mother,V1,Yes,No,GREEN — non-device working assumption,Clearly label as self-reported/unverified until clinician review.,Clinical data model review,TBD,Planned
F-011,Clinician verification and field lock,Clinician,V1,Yes,No,GREEN — clinical record function,Clinician can verify selected fields; mother cannot silently overwrite verified value; correction workflow required.,Medico-legal + audit review,TBD,Planned
F-012,Generated factual visit summary,Clinician,V1,Indirect,No,GREEN/AMBER — keep factual only,"Summarise values entered, ranges, dates, symptoms/reports added and missing entries. No diagnosis, urgency or risk.",Regulatory boundary QA,TBD,Planned
F-013,Doctor / hospital search,Mother,V1,Yes,No,GREEN — non-device,Search by institution or doctor; connection is Doctor X at Institution Y.,Directory verification QA,TBD,Planned
F-014,Invite my doctor lead flow,Mother / Sales,V1,Yes,No,GREEN — commercial workflow,Patient-submitted doctor information becomes internal lead only; no public profile until verified/onboarded.,Sales + privacy SOP,TBD,Planned
F-015,Primary OBGY connection prompt,Mother,V1,Yes,No,GREEN — non-device,App remains functional without primary OBGY; prompt to find/invite doctor.,UX review,TBD,Planned
F-016,Doctor professional verification,Tinytums Ops,V1,No,No,GREEN — onboarding control,Verify registration status; handle specialty/qualification as separate profile data where needed.,Verification SOP,TBD,Planned
F-017,Allied professional verification,Tinytums Ops,V1,No,No,GREEN — onboarding control,"Manual document verification for physiotherapy, lactation, nutrition and other roles.",Verification SOP,TBD,Planned
F-018,Institution account,Hospital / Clinic,V1,No,No,GREEN — enterprise workflow,Institution-first model with owner/admin and individual named staff accounts.,Security + permissions review,TBD,Planned
F-019,Clinician/hospital operations dashboard,Institution Staff,V1,No,No,GREEN — health IT,"Appointments, admissions, planned discharges, discharged today, queues and patient lists.",Workflow QA,TBD,Planned
F-020,Master patient database,Institution Staff,V1,No,No,GREEN — health IT,Search/filter authorised patients; enforce role and care-relationship access.,Privacy + RBAC review,TBD,Planned
F-021,Appointments,Mother / Institution,V1,Yes,No,GREEN — non-device,"Booking, queue and follow-up scheduling.",Normal product QA,TBD,Planned
F-022,Complaint / message to clinician,Mother / Clinician,V1,Yes,No,GREEN — communication function,Transmit complaints/messages; clinician determines medical significance.,Telemedicine SOP,TBD,Planned
F-023,Teleconsultation,Mother / Clinician,V1,Yes,Clinician only,GREEN — platform function with telemedicine compliance,Clinical advice/prescription remains with healthcare professional; clinician decides if in-person exam is needed.,Telemedicine compliance gate,TBD,Planned
F-024,Admission episode,Institution,V1,Yes,No,GREEN — health IT,Create time-bounded admission care episode linked to mother/pregnancy record.,RBAC + audit review,TBD,Planned
F-025,Hospital-assigned clinical care team,Institution,V1,No,No,GREEN — enterprise permissions,Hospital assigns authorised staff during admission; no shared passwords.,RBAC + security gate,TBD,Planned
F-026,Nurse vitals entry role,Nurse,V1,No,No,GREEN — role-based data entry,Nurse may enter selected observations while restricted from unrelated record sections.,Permission matrix sign-off,TBD,Planned
F-027,Junior doctor role,Junior Doctor,V1,No,No,GREEN — role-based clinical workflow,Broad access subject to institutional policy/supervision; individual audit identity required.,Permission matrix sign-off,TBD,Planned
